collection_id,check,score,error,hint
SENTINEL1_L1_SLC,validate_response_ogc_eox_extension_compliance,0,"[""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL1_L1_SLC&:440:30: error: unfinished element""]",<span>See the </span> <a class='dialog' target='_blank' href='/cwic-smart/assets/osxeo/atomeo_0.rnc'>OGC OpenSearch Extension for Earth Observation atomeo.rnc RELAX NG schema</a> <span>for required ATOM response contents.</span>
SENTINEL1_L1_GRD,validate_response_ogc_eox_extension_compliance,0,"[""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL1_L1_GRD&:440:30: error: unfinished element""]",<span>See the </span> <a class='dialog' target='_blank' href='/cwic-smart/assets/osxeo/atomeo_0.rnc'>OGC OpenSearch Extension for Earth Observation atomeo.rnc RELAX NG schema</a> <span>for required ATOM response contents.</span>
SENTINEL1_L2_OCN,validate_response_ogc_eox_extension_compliance,0,"[""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL1_L2_OCN&:440:30: error: unfinished element""]",<span>See the </span> <a class='dialog' target='_blank' href='/cwic-smart/assets/osxeo/atomeo_0.rnc'>OGC OpenSearch Extension for Earth Observation atomeo.rnc RELAX NG schema</a> <span>for required ATOM response contents.</span>
SENTINEL2_L1C,validate_response_ogc_eox_extension_compliance,0,"[""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL2_L1C&:460:30: error: unfinished element""]",<span>See the </span> <a class='dialog' target='_blank' href='/cwic-smart/assets/osxeo/atomeo_0.rnc'>OGC OpenSearch Extension for Earth Observation atomeo.rnc RELAX NG schema</a> <span>for required ATOM response contents.</span>
SENTINEL2_L2A,validate_response_ogc_eox_extension_compliance,0,"[""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL2_L2A&:460:30: error: unfinished element""]",<span>See the </span> <a class='dialog' target='_blank' href='/cwic-smart/assets/osxeo/atomeo_0.rnc'>OGC OpenSearch Extension for Earth Observation atomeo.rnc RELAX NG schema</a> <span>for required ATOM response contents.</span>
SENTINEL3_SRAL_L1_CAL,validate_response_ogc_eox_extension_compliance,0,"[""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_SRAL_L1_CAL&:19:15: error: unfinished element""]",<span>See the </span> <a class='dialog' target='_blank' href='/cwic-smart/assets/osxeo/atomeo_0.rnc'>OGC OpenSearch Extension for Earth Observation atomeo.rnc RELAX NG schema</a> <span>for required ATOM response contents.</span>
SENTINEL3_SRAL_L1_SRA,validate_response_ogc_eox_extension_compliance,0,"[""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_SRAL_L1_SRA&:500:30: error: unfinished element""]",<span>See the </span> <a class='dialog' target='_blank' href='/cwic-smart/assets/osxeo/atomeo_0.rnc'>OGC OpenSearch Extension for Earth Observation atomeo.rnc RELAX NG schema</a> <span>for required ATOM response contents.</span>
SENTINEL3_SRAL_L2_LAN,validate_response_ogc_eox_extension_compliance,0,"[""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_SRAL_L2_LAN&:500:30: error: unfinished element""]",<span>See the </span> <a class='dialog' target='_blank' href='/cwic-smart/assets/osxeo/atomeo_0.rnc'>OGC OpenSearch Extension for Earth Observation atomeo.rnc RELAX NG schema</a> <span>for required ATOM response contents.</span>
SENTINEL3_SRAL_L2_WAT,validate_response_ogc_eox_extension_compliance,0,"[""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_SRAL_L2_WAT&:19:15: error: unfinished element""]",<span>See the </span> <a class='dialog' target='_blank' href='/cwic-smart/assets/osxeo/atomeo_0.rnc'>OGC OpenSearch Extension for Earth Observation atomeo.rnc RELAX NG schema</a> <span>for required ATOM response contents.</span>
SENTINEL3_OLCI_L1_EFR,validate_response_ogc_eox_extension_compliance,0,"[""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_OLCI_L1_EFR&:420:30: error: unfinished element""]",<span>See the </span> <a class='dialog' target='_blank' href='/cwic-smart/assets/osxeo/atomeo_0.rnc'>OGC OpenSearch Extension for Earth Observation atomeo.rnc RELAX NG schema</a> <span>for required ATOM response contents.</span>
