collection_id,check,score,error,hint
SENTINEL1_L1_SLC,validate_client_supplied_identifier_in_osdd,3,OSDD: https://catalogue-staging.nextgeoss.eu/opensearch/description.xml?osdd=SENTINEL1_L1_SLC should contain a reference to the referrer http://www.opensearch.org/Specifications/OpenSearch/Extensions/Referrer/1.0 namespace in order to support the referrer:source clientId - CEOS-BP-005D: OpenSearch servers wishing to identify clients via a client-supplied identifier (e.g. for purposes of server-side metrics generation) shall request this information through the {referrer:source} OpenSearch parameter or a non-variable search parameter in the URL template.,CEOS-BP-005D
SENTINEL1_L1_SLC,validate_parameter_extension_free_text_notation_support,0,"Missing profile for free text query parameter searchTerms, osdd: https://catalogue-staging.nextgeoss.eu/opensearch/description.xml?osdd=SENTINEL1_L1_SLC  - CEOS-BP-002B: For conveying the server's support condition on free keywords (e.g. searchTerms), the server should declare adherence to a specific, existing standard within the parameter definition using the Parameter Extension and an Atom link referring to a profile [RFC6906].",CEOS-BP-002B
SENTINEL1_L1_SLC,validate_search_with_satellite_name,4,Url of type ATOM and rel results does not allow search by platform (satellite) in osdd: https://catalogue-staging.nextgeoss.eu/opensearch/description.xml?osdd=SENTINEL1_L1_SLC - CEOS-BP-005C: OpenSearch servers supporting collection (or granule) search based on satellite name are recommended to pass the satellite name via the {eo:platform} search parameter defined in [OGC 13-026r8].,CEOS-BP-005C
SENTINEL1_L1_SLC,validate_parameter_extension_geometry_type_profile_support,0,"Missing profile(s) for query parameter geometry, osdd: https://catalogue-staging.nextgeoss.eu/opensearch/description.xml?osdd=SENTINEL1_L1_SLC  - CEOS-BP-002C: An OpenSearch server with {geo:geometry} search capabilities shall advertise supported geometry types with the Parameter extension and via Atom links referring to geometry type profiles.",CEOS-BP-002C
SENTINEL1_L1_SLC,validate_presence_of_dc_identifier_in_result,0,"Invalid or missing dc:identifier for result entry - CEOS-BP-011: In a two step search, a collection search response shall return the collection identifier in the <dc:identifier> response element, whose value can be used as {eo:parentIdentifier} parameter in a granule level search request.",CEOS-BP-011 applied against results of sample OSDD query: https://catalogue-staging.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL1_L1_SLC&
SENTINEL1_L1_SLC,validate_geo_name_search,3,"GEO parameter 'name' is not present in your URL template of type 'application/atom+xml'.  CEOS-BP-008: It is recommended to support geo:name and optionally, geo:radius. If geo:name is supported but geo:radius is not, it is recommended the search be treated as point search.",CEOS-BP-008
SENTINEL1_L1_GRD,validate_client_supplied_identifier_in_osdd,3,OSDD: https://catalogue-staging.nextgeoss.eu/opensearch/description.xml?osdd=SENTINEL1_L1_GRD should contain a reference to the referrer http://www.opensearch.org/Specifications/OpenSearch/Extensions/Referrer/1.0 namespace in order to support the referrer:source clientId - CEOS-BP-005D: OpenSearch servers wishing to identify clients via a client-supplied identifier (e.g. for purposes of server-side metrics generation) shall request this information through the {referrer:source} OpenSearch parameter or a non-variable search parameter in the URL template.,CEOS-BP-005D
SENTINEL1_L1_GRD,validate_parameter_extension_free_text_notation_support,0,"Missing profile for free text query parameter searchTerms, osdd: https://catalogue-staging.nextgeoss.eu/opensearch/description.xml?osdd=SENTINEL1_L1_GRD  - CEOS-BP-002B: For conveying the server's support condition on free keywords (e.g. searchTerms), the server should declare adherence to a specific, existing standard within the parameter definition using the Parameter Extension and an Atom link referring to a profile [RFC6906].",CEOS-BP-002B
SENTINEL1_L1_GRD,validate_search_with_satellite_name,4,Url of type ATOM and rel results does not allow search by platform (satellite) in osdd: https://catalogue-staging.nextgeoss.eu/opensearch/description.xml?osdd=SENTINEL1_L1_GRD - CEOS-BP-005C: OpenSearch servers supporting collection (or granule) search based on satellite name are recommended to pass the satellite name via the {eo:platform} search parameter defined in [OGC 13-026r8].,CEOS-BP-005C
SENTINEL1_L1_GRD,validate_parameter_extension_geometry_type_profile_support,0,"Missing profile(s) for query parameter geometry, osdd: https://catalogue-staging.nextgeoss.eu/opensearch/description.xml?osdd=SENTINEL1_L1_GRD  - CEOS-BP-002C: An OpenSearch server with {geo:geometry} search capabilities shall advertise supported geometry types with the Parameter extension and via Atom links referring to geometry type profiles.",CEOS-BP-002C
