collection_id,check,score,error,hint
SENTINEL1_L1_SLC,validate_client_supplied_identifier_in_osdd_support,3,OSDD: https://catalogue-staging.nextgeoss.eu/opensearch/description.xml?osdd=SENTINEL1_L1_SLC should contain a reference to the referrer http://www.opensearch.org/Specifications/OpenSearch/Extensions/Referrer/1.0 namespace in order to support the referrer:source clientId - CEOS-BP-005D: OpenSearch servers wishing to identify clients via a client-supplied identifier (e.g. for purposes of server-side metrics generation) shall request this information through the {referrer:source} OpenSearch parameter or a non-variable search parameter in the URL template.,CEOS-BP-005D
SENTINEL1_L1_SLC,validate_parameter_extension_free_text_notation_osdd_support,0,"Missing profile for free text query parameter searchTerms, osdd: https://catalogue-staging.nextgeoss.eu/opensearch/description.xml?osdd=SENTINEL1_L1_SLC  - CEOS-BP-002B: For conveying the server's support condition on free keywords (e.g. searchTerms), the server should declare adherence to a specific, existing standard within the parameter definition using the Parameter Extension and an Atom link referring to a profile [RFC6906].",CEOS-BP-002B
SENTINEL1_L1_SLC,validate_parameter_extension_geometry_type_profile_osdd_support,0,"Missing profile(s) for query parameter geometry, osdd: https://catalogue-staging.nextgeoss.eu/opensearch/description.xml?osdd=SENTINEL1_L1_SLC  - CEOS-BP-002C: An OpenSearch server with {geo:geometry} search capabilities shall advertise supported geometry types with the Parameter extension and via Atom links referring to geometry type profiles.",CEOS-BP-002C
SENTINEL1_L1_GRD,validate_client_supplied_identifier_in_osdd_support,3,OSDD: https://catalogue-staging.nextgeoss.eu/opensearch/description.xml?osdd=SENTINEL1_L1_GRD should contain a reference to the referrer http://www.opensearch.org/Specifications/OpenSearch/Extensions/Referrer/1.0 namespace in order to support the referrer:source clientId - CEOS-BP-005D: OpenSearch servers wishing to identify clients via a client-supplied identifier (e.g. for purposes of server-side metrics generation) shall request this information through the {referrer:source} OpenSearch parameter or a non-variable search parameter in the URL template.,CEOS-BP-005D
SENTINEL1_L1_GRD,validate_parameter_extension_free_text_notation_osdd_support,0,"Missing profile for free text query parameter searchTerms, osdd: https://catalogue-staging.nextgeoss.eu/opensearch/description.xml?osdd=SENTINEL1_L1_GRD  - CEOS-BP-002B: For conveying the server's support condition on free keywords (e.g. searchTerms), the server should declare adherence to a specific, existing standard within the parameter definition using the Parameter Extension and an Atom link referring to a profile [RFC6906].",CEOS-BP-002B
SENTINEL1_L1_GRD,validate_parameter_extension_geometry_type_profile_osdd_support,0,"Missing profile(s) for query parameter geometry, osdd: https://catalogue-staging.nextgeoss.eu/opensearch/description.xml?osdd=SENTINEL1_L1_GRD  - CEOS-BP-002C: An OpenSearch server with {geo:geometry} search capabilities shall advertise supported geometry types with the Parameter extension and via Atom links referring to geometry type profiles.",CEOS-BP-002C
SENTINEL1_L2_OCN,validate_client_supplied_identifier_in_osdd_support,3,OSDD: https://catalogue-staging.nextgeoss.eu/opensearch/description.xml?osdd=SENTINEL1_L2_OCN should contain a reference to the referrer http://www.opensearch.org/Specifications/OpenSearch/Extensions/Referrer/1.0 namespace in order to support the referrer:source clientId - CEOS-BP-005D: OpenSearch servers wishing to identify clients via a client-supplied identifier (e.g. for purposes of server-side metrics generation) shall request this information through the {referrer:source} OpenSearch parameter or a non-variable search parameter in the URL template.,CEOS-BP-005D
SENTINEL1_L2_OCN,validate_parameter_extension_free_text_notation_osdd_support,0,"Missing profile for free text query parameter searchTerms, osdd: https://catalogue-staging.nextgeoss.eu/opensearch/description.xml?osdd=SENTINEL1_L2_OCN  - CEOS-BP-002B: For conveying the server's support condition on free keywords (e.g. searchTerms), the server should declare adherence to a specific, existing standard within the parameter definition using the Parameter Extension and an Atom link referring to a profile [RFC6906].",CEOS-BP-002B
SENTINEL1_L2_OCN,validate_parameter_extension_geometry_type_profile_osdd_support,0,"Missing profile(s) for query parameter geometry, osdd: https://catalogue-staging.nextgeoss.eu/opensearch/description.xml?osdd=SENTINEL1_L2_OCN  - CEOS-BP-002C: An OpenSearch server with {geo:geometry} search capabilities shall advertise supported geometry types with the Parameter extension and via Atom links referring to geometry type profiles.",CEOS-BP-002C
SENTINEL2_L1C,validate_client_supplied_identifier_in_osdd_support,3,OSDD: https://catalogue-staging.nextgeoss.eu/opensearch/description.xml?osdd=SENTINEL2_L1C should contain a reference to the referrer http://www.opensearch.org/Specifications/OpenSearch/Extensions/Referrer/1.0 namespace in order to support the referrer:source clientId - CEOS-BP-005D: OpenSearch servers wishing to identify clients via a client-supplied identifier (e.g. for purposes of server-side metrics generation) shall request this information through the {referrer:source} OpenSearch parameter or a non-variable search parameter in the URL template.,CEOS-BP-005D
