collection_id,check,score,error,hint
SENTINEL3_SRAL_L1_CAL,validate_two_step_searching,2,The result has no entries containing links of rel type 'search' - ESIP BP: a client will first identify datasets of interest (step 1) and then search for granules associated with those datasets (step 2).,Rule applied against results of sample OSDD query: https://catalogue-staging.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_SRAL_L1_CAL&
SENTINEL3_SRAL_L2_WAT,validate_two_step_searching,2,The result has no entries containing links of rel type 'search' - ESIP BP: a client will first identify datasets of interest (step 1) and then search for granules associated with those datasets (step 2).,Rule applied against results of sample OSDD query: https://catalogue-staging.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_SRAL_L2_WAT&
SENTINEL5P_OFFL_L1B,validate_two_step_searching,2,The result has no entries containing links of rel type 'search' - ESIP BP: a client will first identify datasets of interest (step 1) and then search for granules associated with those datasets (step 2).,Rule applied against results of sample OSDD query: https://catalogue-staging.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL5P_OFFL_L1B&
SENTINEL5P_OFFL_L2,validate_two_step_searching,2,The result has no entries containing links of rel type 'search' - ESIP BP: a client will first identify datasets of interest (step 1) and then search for granules associated with those datasets (step 2).,Rule applied against results of sample OSDD query: https://catalogue-staging.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL5P_OFFL_L2&
SENTINEL5P_NRTI_L2,validate_two_step_searching,2,The result has no entries containing links of rel type 'search' - ESIP BP: a client will first identify datasets of interest (step 1) and then search for granules associated with those datasets (step 2).,Rule applied against results of sample OSDD query: https://catalogue-staging.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL5P_NRTI_L2&
SENTINEL5P_RPRO_L2,validate_two_step_searching,2,The result has no entries containing links of rel type 'search' - ESIP BP: a client will first identify datasets of interest (step 1) and then search for granules associated with those datasets (step 2).,Rule applied against results of sample OSDD query: https://catalogue-staging.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL5P_RPRO_L2&
METNO-GLO-SEAICE_CONC-SOUTH-L4-NRT-OBS,validate_two_step_searching,2,The result has no entries containing links of rel type 'search' - ESIP BP: a client will first identify datasets of interest (step 1) and then search for granules associated with those datasets (step 2).,Rule applied against results of sample OSDD query: https://catalogue-staging.nextgeoss.eu/opensearch/search.atom?productType=METNO-GLO-SEAICE_CONC-SOUTH-L4-NRT-OBS&
METNO-GLO-SEAICE_CONC-SOUTH-L4-NRT-OBS,validate_two_step_searching,2,The result has no entries containing links of rel type 'search' - ESIP BP: a client will first identify datasets of interest (step 1) and then search for granules associated with those datasets (step 2).,Rule applied against results of sample OSDD query: https://catalogue-staging.nextgeoss.eu/opensearch/search.atom?productType=METNO-GLO-SEAICE_CONC-SOUTH-L4-NRT-OBS&
ARCTIC_ANALYSIS_FORECAST_PHYS_002_001_A,validate_two_step_searching,2,The result has no entries containing links of rel type 'search' - ESIP BP: a client will first identify datasets of interest (step 1) and then search for granules associated with those datasets (step 2).,Rule applied against results of sample OSDD query: https://catalogue-staging.nextgeoss.eu/opensearch/search.atom?productType=ARCTIC_ANALYSIS_FORECAST_PHYS_002_001_A&
SEALEVEL_GLO_PHY_L4_NRT_OBSERVATIONS_008_046,validate_two_step_searching,2,The result has no entries containing links of rel type 'search' - ESIP BP: a client will first identify datasets of interest (step 1) and then search for granules associated with those datasets (step 2).,Rule applied against results of sample OSDD query: https://catalogue-staging.nextgeoss.eu/opensearch/search.atom?productType=SEALEVEL_GLO_PHY_L4_NRT_OBSERVATIONS_008_046&
