collection_id,check,score,error,hint
SENTINEL3_SRAL_L1_SRA,validate_response_ogc_atom_opensearch_geo_compliance,0,"[""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_SRAL_L1_SRA&:223:814: error: bad character content for element""]",<span>See the </span> <a class='dialog' target='_blank' href='/cwic-smart/assets/atomgeo.rnc'>OGC OpenSearch atomgeo.rnc RELAX NG schema</a> <span>for required ATOM response contents.</span>
SENTINEL3_SRAL_L2_LAN,validate_response_ogc_atom_opensearch_geo_compliance,0,"[""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_SRAL_L2_LAN&:175:671: error: bad character content for element""]",<span>See the </span> <a class='dialog' target='_blank' href='/cwic-smart/assets/atomgeo.rnc'>OGC OpenSearch atomgeo.rnc RELAX NG schema</a> <span>for required ATOM response contents.</span>
SENTINEL3_OLCI_L1_ERR,validate_response_ogc_atom_opensearch_geo_compliance,0,"[""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_OLCI_L1_ERR&:111:42: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_OLCI_L1_ERR&:131:42: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_OLCI_L1_ERR&:151:42: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_OLCI_L1_ERR&:171:42: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_OLCI_L1_ERR&:191:42: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_OLCI_L1_ERR&:211:42: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_OLCI_L1_ERR&:231:42: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_OLCI_L1_ERR&:251:42: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_OLCI_L1_ERR&:271:42: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_OLCI_L1_ERR&:291:42: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_OLCI_L1_ERR&:311:42: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_OLCI_L1_ERR&:331:42: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_OLCI_L1_ERR&:351:42: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_OLCI_L1_ERR&:371:42: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_OLCI_L1_ERR&:391:42: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_OLCI_L1_ERR&:411:42: error: bad character content for element""]",<span>See the </span> <a class='dialog' target='_blank' href='/cwic-smart/assets/atomgeo.rnc'>OGC OpenSearch atomgeo.rnc RELAX NG schema</a> <span>for required ATOM response contents.</span>
SENTINEL3_OLCI_L2_LRR,validate_response_ogc_atom_opensearch_geo_compliance,0,"[""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_OLCI_L2_LRR&:91:42: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_OLCI_L2_LRR&:111:42: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_OLCI_L2_LRR&:131:42: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_OLCI_L2_LRR&:151:42: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_OLCI_L2_LRR&:171:42: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_OLCI_L2_LRR&:191:42: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_OLCI_L2_LRR&:211:42: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_OLCI_L2_LRR&:231:42: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_OLCI_L2_LRR&:251:42: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_OLCI_L2_LRR&:271:42: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_OLCI_L2_LRR&:291:42: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_OLCI_L2_LRR&:311:42: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_OLCI_L2_LRR&:331:42: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_OLCI_L2_LRR&:351:42: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_OLCI_L2_LRR&:371:42: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_OLCI_L2_LRR&:391:42: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_OLCI_L2_LRR&:411:42: error: bad character content for element""]",<span>See the </span> <a class='dialog' target='_blank' href='/cwic-smart/assets/atomgeo.rnc'>OGC OpenSearch atomgeo.rnc RELAX NG schema</a> <span>for required ATOM response contents.</span>
SENTINEL3_SLSTR_L1_RBT,validate_response_ogc_atom_opensearch_geo_compliance,0,"[""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL3_SLSTR_L1_RBT&:273:1277: error: bad character content for element""]",<span>See the </span> <a class='dialog' target='_blank' href='/cwic-smart/assets/atomgeo.rnc'>OGC OpenSearch atomgeo.rnc RELAX NG schema</a> <span>for required ATOM response contents.</span>
SENTINEL5P_OFFL_L2,validate_response_ogc_atom_opensearch_geo_compliance,0,"[""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL5P_OFFL_L2&:31:1864: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL5P_OFFL_L2&:56:4270: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL5P_OFFL_L2&:81:5379: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL5P_OFFL_L2&:106:5642: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL5P_OFFL_L2&:131:5736: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL5P_OFFL_L2&:156:5822: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL5P_OFFL_L2&:356:1142: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL5P_OFFL_L2&:381:1676: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL5P_OFFL_L2&:406:3322: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL5P_OFFL_L2&:431:5253: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL5P_OFFL_L2&:456:5596: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL5P_OFFL_L2&:481:5684: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=SENTINEL5P_OFFL_L2&:506:5739: error: bad character content for element""]",<span>See the </span> <a class='dialog' target='_blank' href='/cwic-smart/assets/atomgeo.rnc'>OGC OpenSearch atomgeo.rnc RELAX NG schema</a> <span>for required ATOM response contents.</span>
PROBAV_S1-TOC_1KM_V001,validate_response_ogc_atom_opensearch_time_compliance,0,"[""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S1-TOC_1KM_V001&:30:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S1-TOC_1KM_V001&:49:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S1-TOC_1KM_V001&:68:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S1-TOC_1KM_V001&:87:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S1-TOC_1KM_V001&:106:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S1-TOC_1KM_V001&:125:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S1-TOC_1KM_V001&:144:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S1-TOC_1KM_V001&:163:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S1-TOC_1KM_V001&:182:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S1-TOC_1KM_V001&:201:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S1-TOC_1KM_V001&:220:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S1-TOC_1KM_V001&:239:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S1-TOC_1KM_V001&:258:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S1-TOC_1KM_V001&:277:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S1-TOC_1KM_V001&:296:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S1-TOC_1KM_V001&:315:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S1-TOC_1KM_V001&:334:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S1-TOC_1KM_V001&:353:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S1-TOC_1KM_V001&:372:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S1-TOC_1KM_V001&:391:25: error: bad character content for element""]",<span>See the </span> <a class='dialog' target='_blank' href='/cwic-smart/assets/atomtime.rnc'>OGC OpenSearch atomtime.rnc RELAX NG schema</a> <span>for required ATOM response contents.</span>
PROBAV_S1-TOA_1KM_V001,validate_response_ogc_atom_opensearch_time_compliance,0,"[""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S1-TOA_1KM_V001&:30:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S1-TOA_1KM_V001&:49:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S1-TOA_1KM_V001&:68:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S1-TOA_1KM_V001&:87:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S1-TOA_1KM_V001&:106:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S1-TOA_1KM_V001&:125:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S1-TOA_1KM_V001&:144:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S1-TOA_1KM_V001&:163:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S1-TOA_1KM_V001&:182:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S1-TOA_1KM_V001&:201:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S1-TOA_1KM_V001&:220:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S1-TOA_1KM_V001&:239:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S1-TOA_1KM_V001&:258:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S1-TOA_1KM_V001&:277:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S1-TOA_1KM_V001&:296:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S1-TOA_1KM_V001&:315:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S1-TOA_1KM_V001&:334:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S1-TOA_1KM_V001&:353:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S1-TOA_1KM_V001&:372:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S1-TOA_1KM_V001&:391:25: error: bad character content for element""]",<span>See the </span> <a class='dialog' target='_blank' href='/cwic-smart/assets/atomtime.rnc'>OGC OpenSearch atomtime.rnc RELAX NG schema</a> <span>for required ATOM response contents.</span>
PROBAV_S10-TOC_1KM_V001,validate_response_ogc_atom_opensearch_time_compliance,0,"[""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S10-TOC_1KM_V001&:30:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S10-TOC_1KM_V001&:49:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S10-TOC_1KM_V001&:68:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S10-TOC_1KM_V001&:87:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S10-TOC_1KM_V001&:106:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S10-TOC_1KM_V001&:125:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S10-TOC_1KM_V001&:144:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S10-TOC_1KM_V001&:163:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S10-TOC_1KM_V001&:182:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S10-TOC_1KM_V001&:201:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S10-TOC_1KM_V001&:220:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S10-TOC_1KM_V001&:239:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S10-TOC_1KM_V001&:258:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S10-TOC_1KM_V001&:277:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S10-TOC_1KM_V001&:296:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S10-TOC_1KM_V001&:315:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S10-TOC_1KM_V001&:334:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S10-TOC_1KM_V001&:353:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S10-TOC_1KM_V001&:372:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S10-TOC_1KM_V001&:391:25: error: bad character content for element""]",<span>See the </span> <a class='dialog' target='_blank' href='/cwic-smart/assets/atomtime.rnc'>OGC OpenSearch atomtime.rnc RELAX NG schema</a> <span>for required ATOM response contents.</span>
PROBAV_S10-TOC-NDVI_1KM_V001,validate_response_ogc_atom_opensearch_time_compliance,0,"[""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S10-TOC-NDVI_1KM_V001&:30:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S10-TOC-NDVI_1KM_V001&:49:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S10-TOC-NDVI_1KM_V001&:68:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S10-TOC-NDVI_1KM_V001&:87:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S10-TOC-NDVI_1KM_V001&:106:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S10-TOC-NDVI_1KM_V001&:125:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S10-TOC-NDVI_1KM_V001&:144:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S10-TOC-NDVI_1KM_V001&:163:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S10-TOC-NDVI_1KM_V001&:182:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S10-TOC-NDVI_1KM_V001&:201:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S10-TOC-NDVI_1KM_V001&:220:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S10-TOC-NDVI_1KM_V001&:239:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S10-TOC-NDVI_1KM_V001&:258:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S10-TOC-NDVI_1KM_V001&:277:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S10-TOC-NDVI_1KM_V001&:296:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S10-TOC-NDVI_1KM_V001&:315:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S10-TOC-NDVI_1KM_V001&:334:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S10-TOC-NDVI_1KM_V001&:353:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S10-TOC-NDVI_1KM_V001&:372:25: error: bad character content for element"", ""https://catalogue.nextgeoss.eu/opensearch/search.atom?productType=PROBAV_S10-TOC-NDVI_1KM_V001&:391:25: error: bad character content for element""]",<span>See the </span> <a class='dialog' target='_blank' href='/cwic-smart/assets/atomtime.rnc'>OGC OpenSearch atomtime.rnc RELAX NG schema</a> <span>for required ATOM response contents.</span>
